t_s	temp_kb	out_kb	converted_kb	mem_bytes	cpu_pct	pids	fifos
101.40	3346733	19031	3346733	12993466368	817.1	20	0
102.40	3346733	19031	3346733	12994183168	799.8	20	0
103.40	3346733	19031	3346733	12996558848	799.8	20	0
104.41	3346733	19031	3346733	12998238208	807.7	20	0
105.41	3346733	20153	3346733	13001293824	818.5	20	0
106.42	3346733	23570	3346733	13003898880	869.5	20	0
107.42	3346733	23570	3346733	13004005376	799.9	20	0
108.42	3346733	23570	3346733	13004267520	799.8	20	0
109.43	3346733	23570	3346733	13004304384	807.7	20	0
110.43	3346733	23570	3346733	13004443648	799.5	20	0
111.44	3346733	23570	3346733	13004644352	807.5	20	0
112.44	3346733	23570	3346733	13004406784	799.9	20	0
113.44	3346733	24591	3346733	13005393920	817.5	20	0
114.45	3346733	25896	3346733	13007200256	830.6	20	0
115.45	3346733	25896	3346733	13006651392	799.8	20	0
116.46	3346733	25896	3346733	13006323712	807.5	20	0
117.46	3346733	25896	3346733	13006295040	799.5	20	0
118.47	3346733	25896	3346733	13006503936	799.7	20	0
119.47	3346733	25896	3346733	13006503936	807.5	20	0
120.47	3346733	25896	3346733	13006708736	799.6	20	0
121.48	3346733	25896	3346733	13009313792	807.6	20	0
122.48	3346733	25896	3346733	13011230720	799.4	20	0
123.48	3346733	25896	3346733	13014339584	799.5	20	0
124.49	3346733	25896	3346733	13016502272	807.3	20	0
125.49	3346733	25896	3346733	13018902528	799.5	20	0
126.50	3346733	25896	3346733	13021265920	807.7	20	0
127.50	3346733	25896	3346733	13023559680	799.8	20	0
128.50	3346733	25896	3346733	13026516992	799.7	20	0
129.51	3346733	25896	3346733	13029695488	807.6	20	0
130.51	3346733	30486	3346733	13037498368	881.2	20	0
131.52	3346733	30486	3346733	13040275456	807.7	20	0
132.52	3346733	30486	3346733	13042442240	799.6	20	0
133.52	3346733	30486	3346733	13044891648	799.3	20	0
134.53	3346733	30486	3346733	13047234560	807.6	20	0
135.53	3346733	30486	3346733	13049126912	799.5	20	0
136.54	3346733	30486	3346733	13051518976	807.6	20	0
137.54	3346733	30486	3346733	13054713856	799.7	20	0
138.54	3346733	32782	3346733	13060325376	840.4	20	0
139.55	3346733	32782	3346733	13062320128	807.3	20	0
140.55	3346733	32782	3346733	13065195520	799.6	20	0
141.56	3346733	32782	3346733	13067866112	807.7	20	0
142.56	3346733	32782	3346733	13069656064	799.7	20	0
143.57	3346733	32782	3346733	13072900096	799.6	20	0
144.57	3346733	32782	3346733	13075718144	807.6	20	0
145.57	3346733	32782	3346733	13077778432	799.6	20	0
146.58	3346733	32782	3346733	13081407488	807.7	20	0
147.58	3346733	32782	3346733	13084098560	799.7	20	0
148.59	3346733	32782	3346733	13086494720	799.5	20	0
149.59	3346733	32782	3346733	13088952320	807.5	20	0
150.59	3346733	32782	3346733	13091065856	799.7	20	0
151.60	3346733	32782	3346733	13093392384	807.5	20	0
152.60	3346733	32782	3346733	13096501248	799.7	20	0
153.61	3346733	32782	3346733	13099687936	799.4	20	0
154.61	3346733	32782	3346733	13102190592	807.4	20	0
155.61	3346733	36859	3346733	13109043200	871.4	20	0
