t_s	temp_kb	out_kb	converted_kb	mem_bytes	anon_bytes	cpu_pct	pids	fifos
0.00	0	0	0	6348800	307200	34.4	2	0
1.00	0	0	0	378478592	356102144	98.7	2	0
2.01	0	0	0	899031040	874917888	100.0	2	0
3.01	0	0	0	1333252096	1301946368	101.0	2	0
4.01	0	1	0	1779810304	1732014080	100.0	2	0
5.02	0	1	0	2218217472	2171322368	101.0	2	0
6.02	0	1	0	2554408960	2508898304	100.0	2	0
7.03	0	1	0	2804785152	2758488064	100.0	2	0
8.03	92620	2	92620	2930741248	2786086912	101.0	2	0
9.03	363317	2	363317	3209105408	2783432704	100.0	2	0
10.04	635723	2	635723	3488481280	2783432704	101.0	2	0
11.04	907218	2	907218	3766857728	2783432704	100.0	2	0
12.05	1179912	2	1179912	4046684160	2783432704	100.0	2	0
13.05	1453147	2	1453147	4327022592	2783432704	101.0	2	0
14.05	1725692	2	1725692	4606832640	2783432704	100.0	2	0
15.06	1999027	2	1999027	4888150016	2783432704	101.0	2	0
16.06	2272548	2	2272548	5168607232	2783432704	100.0	2	0
17.07	2547124	2	2547124	5449908224	2783432704	100.0	2	0
18.07	2821420	2	2821420	5733646336	2786332672	100.9	2	0
19.07	3094974	2	3094974	6014627840	2786332672	100.0	2	0
20.08	3369627	2	3369627	6296367104	2786332672	101.0	2	0
21.08	3643430	2	3643430	6577807360	2786332672	100.0	2	0
22.08	3918030	2	3918030	6858567680	2786332672	100.0	2	0
23.09	4193582	2	4193582	7141904384	2786332672	101.0	2	0
24.09	4468271	2	4468271	7423311872	2786332672	100.0	2	0
25.10	4743197	2	4743197	7706169344	2786332672	100.0	2	0
26.10	5018312	2	5018312	7988465664	2786332672	101.0	2	0
27.10	5291979	2	5291979	8268943360	2786332672	100.0	2	0
28.11	5566175	2	5566175	8552439808	2790715392	101.0	2	0
29.11	5840465	2	5840465	8834097152	2790715392	100.0	2	0
30.12	6114601	2	6114601	9115394048	2790715392	100.0	2	0
31.12	6388734	2	6388734	9396936704	2790715392	101.0	2	0
32.12	6661779	2	6661779	9677000704	2790715392	100.0	2	0
33.13	6693466	3	6693466	11282989056	4359245824	100.8	6	0
34.13	6693466	3	6693466	13079580672	6150336512	147.8	15	0
35.14	6693466	3	6693466	14924353536	7991627776	499.3	15	0
36.14	6693466	3	6693466	16787648512	9850159104	644.0	24	0
37.15	6693466	3	6693466	18622349312	11681423360	902.2	24	0
38.15	6693466	3	6693466	20489052160	13543198720	1151.7	33	0
39.15	6693466	3	6693466	22324170752	15377149952	1304.5	33	0
40.16	6693466	3	6693466	22718046208	15769444352	1576.0	38	0
41.16	6693466	3	6693466	22750896128	15802064896	1608.2	38	0
42.17	6693466	3	6693466	22775996416	15828299776	1623.3	38	0
43.18	6693466	20	6693466	22807384064	15858823168	1609.1	38	0
44.18	6693466	20	6693466	22825848832	15876710400	1623.4	38	0
45.19	6693466	2323	6693466	22847737856	15895834624	1700.0	38	0
46.19	6693466	2323	6693466	22860566528	15908966400	1608.9	38	0
47.20	6693466	2621	6693466	22873903104	15922135040	1633.6	38	0
48.20	6693466	2621	6693466	22884810752	15933792256	1608.6	38	0
49.21	6693466	2621	6693466	22895890432	15944790016	1622.4	38	0
50.22	6693466	2770	6693466	22908624896	15956422656	1613.6	38	0
51.22	6693466	2770	6693466	22925021184	15973478400	1623.6	38	0
52.23	6693466	2770	6693466	22938746880	15987314688	1611.4	38	0
53.23	6693466	2770	6693466	22959239168	16007331840	1620.4	38	0
54.24	6693466	2770	6693466	22973480960	16021438464	1623.7	38	0
55.24	6693466	2770	6693466	22988877824	16036253696	1608.2	38	0
56.25	6693466	2770	6693466	23003013120	16051429376	1623.0	38	0
57.25	6693466	2770	6693466	23018217472	16066965504	1608.5	38	0
58.26	6693466	2770	6693466	23033847808	16081494016	1622.9	38	0
59.27	6693466	3465	6693466	23044161536	16091750400	1631.2	38	0
60.27	6693466	3465	6693466	23054323712	16101744640	1623.4	38	0
61.28	6693466	3465	6693466	23067914240	16115273728	1623.6	38	0
62.28	6693466	3465	6693466	23083438080	16130891776	1608.2	38	0
63.29	6693466	4906	6693466	23125524480	16170741760	1671.4	38	0
64.29	6693466	4923	6693466	23138873344	16184623104	1608.8	38	0
65.30	6693466	4923	6693466	23153008640	16199376896	1623.4	38	0
66.31	6693466	4923	6693466	23166726144	16213159936	1608.0	38	0
67.31	6693466	4923	6693466	23184125952	16230273024	1623.7	38	0
68.32	6693466	4923	6693466	23199711232	16245383168	1623.7	38	0
