t_s	temp_kb	out_kb	converted_kb	mem_bytes	anon_bytes	cpu_pct	pids	fifos
0.00	0	0	0	6066176	307200	59.2	2	0
1.00	0	0	0	647282688	631943168	98.7	2	0
2.01	0	0	0	898146304	874979328	100.0	2	0
3.01	0	0	0	1333825536	1301004288	101.0	2	0
4.01	0	1	0	1749307392	1704747008	100.0	2	0
5.02	0	1	0	2203901952	2157756416	100.0	2	0
6.02	0	1	0	2555830272	2508963840	101.0	2	0
7.02	0	1	0	2795106304	2748010496	100.0	2	0
8.03	85118	2	85118	2924511232	2786119680	101.0	2	0
9.03	358956	2	358956	3205345280	2783989760	100.0	2	0
10.04	633383	2	633383	3487195136	2783989760	100.0	2	0
11.04	906699	2	906699	3767656448	2783989760	101.0	2	0
12.04	1180996	2	1180996	4048994304	2783989760	100.0	2	0
13.05	1455336	2	1455336	4330663936	2783989760	101.0	2	0
14.05	1728748	2	1728748	4610793472	2783989760	100.0	2	0
15.06	2001885	2	2001885	4891541504	2783989760	100.0	2	0
16.06	2275646	2	2275646	5172551680	2783989760	101.0	2	0
17.06	2549583	2	2549583	5453561856	2783989760	100.0	2	0
18.07	2824325	2	2824325	5737115648	2786856960	100.0	2	0
19.07	3099376	2	3099376	6019264512	2786856960	101.0	2	0
20.07	3346733	2	3346733	6391603200	2903453696	99.8	6	0
21.08	3346733	2	3346733	8239742976	4747993088	101.0	6	0
22.08	3346733	2	3346733	10054479872	6557573120	235.9	15	0
23.09	3346733	2	3346733	11885793280	8385851392	499.1	15	0
24.09	3346733	19	3346733	12775591936	9272352768	675.2	20	0
25.09	3346733	385	3346733	12785086464	9281355776	809.6	20	0
26.10	3346733	684	3346733	12790833152	9287462912	815.4	20	0
27.10	3346733	1181	3346733	12796194816	9291988992	812.3	20	0
28.11	3346733	1264	3346733	12800843776	9298735104	809.0	20	0
29.11	3346733	1744	3346733	12804079616	9300484096	808.1	20	0
30.12	3346733	2323	3346733	12804964352	9301319680	809.6	20	0
31.12	3346733	2323	3346733	12807860224	9304526848	807.5	20	0
32.12	3346733	2406	3346733	12810895360	9307226112	800.9	20	0
33.13	3346733	2406	3346733	12813471744	9310109696	807.6	20	0
34.13	3346733	3465	3346733	12816936960	9311051776	818.4	20	0
35.14	3346733	3465	3346733	12816666624	9311150080	799.5	20	0
36.14	3346733	4044	3346733	12818657280	9311920128	817.2	20	0
37.15	3346733	4044	3346733	12820488192	9314557952	799.4	20	0
38.15	3346733	4608	3346733	12825325568	9320415232	817.4	20	0
39.15	3346733	4608	3346733	12828020736	9323065344	799.6	20	0
40.16	3346733	4707	3346733	12830691328	9325592576	808.8	20	0
41.16	3346733	4707	3346733	12833841152	9328328704	799.4	20	0
42.17	3346733	4707	3346733	12836122624	9331380224	799.5	20	0
43.17	3346733	4707	3346733	12840628224	9335775232	807.4	20	0
44.18	3346733	6365	3346733	12843343872	9337540608	828.3	20	0
45.18	3346733	6365	3346733	12844519424	9338224640	807.3	20	0
46.18	3346733	6945	3346733	12845453312	9338228736	809.6	20	0
47.19	3346733	6945	3346733	12845019136	9338294272	807.6	20	0
48.19	3346733	6945	3346733	12846174208	9338961920	799.5	20	0
49.20	3346733	6945	3346733	12848898048	9341632512	799.5	20	0
50.20	3346733	8104	3346733	12852965376	9344258048	827.5	20	0
51.20	3346733	8104	3346733	12855889920	9347227648	799.6	20	0
52.21	3346733	8682	3346733	12859629568	9349804032	817.3	20	0
53.21	3346733	8682	3346733	12861906944	9352290304	799.5	20	0
54.22	3346733	8682	3346733	12864794624	9355051008	807.5	20	0
55.22	3346733	8682	3346733	12867661824	9357967360	799.8	20	0
56.23	3346733	9325	3346733	12869922816	9360257024	810.9	20	0
57.23	3346733	9325	3346733	12872568832	9362948096	807.7	20	0
58.23	3346733	9325	3346733	12876566528	9366130688	799.6	20	0
59.24	3346733	9325	3346733	12880621568	9370529792	807.4	20	0
60.24	3346733	9325	3346733	12884275200	9374572544	799.3	20	0
61.25	3346733	9325	3346733	12888899584	9378480128	799.3	20	0
62.25	3346733	9325	3346733	12891783168	9382383616	807.2	20	0
63.25	3346733	9836	3346733	12895707136	9385238528	808.2	20	0
64.26	3346733	12000	3346733	12899319808	9386418176	844.7	20	0
65.26	3346733	12132	3346733	12899008512	9386455040	802.2	20	0
66.27	3346733	12132	3346733	12899377152	9386491904	807.5	20	0
67.27	3346733	12132	3346733	12899086336	9386504192	799.6	20	0
68.28	3346733	13303	3346733	12900167680	9386520576	819.6	20	0
69.28	3346733	13303	3346733	12900782080	9386541056	807.5	20	0
70.28	3346733	13303	3346733	12900257792	9386561536	799.3	20	0
71.29	3346733	13303	3346733	12900605952	9386684416	807.4	20	0
72.29	3346733	13303	3346733	12899475456	9386696704	799.7	20	0
73.30	3346733	13303	3346733	12901990400	9389068288	799.5	20	0
74.30	3346733	13303	3346733	12904648704	9391587328	807.4	20	0
75.31	3346733	13303	3346733	12908019712	9394331648	800.0	20	0
76.31	3346733	15613	3346733	12912500736	9396809728	846.9	20	0
77.31	3346733	15613	3346733	12915408896	9399558144	799.6	20	0
78.32	3346733	15613	3346733	12917940224	9402220544	807.3	20	0
79.32	3346733	15613	3346733	12920963072	9405272064	799.6	20	0
80.33	3346733	16770	3346733	12925464576	9407942656	819.5	20	0
81.33	3346733	16770	3346733	12927750144	9410748416	807.5	20	0
82.34	3346733	16770	3346733	12930424832	9413455872	799.5	20	0
83.34	3346733	16770	3346733	12933300224	9416429568	807.6	20	0
84.34	3346733	16770	3346733	12935188480	9419026432	799.5	20	0
85.35	3346733	16770	3346733	12938149888	9421565952	807.4	20	0
86.35	3346733	16770	3346733	12940652544	9424269312	799.4	20	0
87.36	3346733	16770	3346733	12943257600	9427181568	799.6	20	0
88.36	3346733	18536	3346733	12948160512	9429843968	838.7	20	0
89.37	3346733	18536	3346733	12951474176	9432567808	799.4	20	0
90.37	3346733	18536	3346733	12953649152	9434824704	807.2	20	0
91.37	3346733	18536	3346733	12956073984	9437356032	799.6	20	0
92.38	3346733	18536	3346733	12959342592	9440456704	807.6	20	0
93.38	3346733	18536	3346733	12963176448	9444749312	799.7	20	0
94.39	3346733	18536	3346733	12967886848	9448775680	799.7	20	0
95.39	3346733	18536	3346733	12971810816	9453293568	806.9	20	0
96.40	3346733	18536	3346733	12976803840	9457741824	799.5	20	0
97.40	3346733	18536	3346733	12980568064	9461719040	807.3	20	0
98.40	3346733	18536	3346733	12985004032	9465782272	799.5	20	0
99.41	3346733	18536	3346733	12989386752	9470013440	807.6	20	0
100.41	3346733	18536	3346733	12993314816	9474043904	799.4	20	0
101.42	3346733	19031	3346733	12997869568	9477922816	808.2	20	0
102.42	3346733	19031	3346733	12999229440	9479499776	807.5	20	0
103.42	3346733	19031	3346733	13000454144	9481093120	799.6	20	0
104.43	3346733	22185	3346733	13004984320	9481871360	862.4	20	0
105.43	3346733	23570	3346733	13006249984	9481895936	823.8	20	0
106.44	3346733	23570	3346733	13006106624	9481908224	799.7	20	0
107.44	3346733	23570	3346733	13005692928	9481924608	807.5	20	0
108.45	3346733	23570	3346733	13006315520	9481957376	799.8	20	0
109.45	3346733	23570	3346733	13006303232	9481969664	807.7	20	0
110.45	3346733	23570	3346733	13006213120	9482002432	799.5	20	0
111.46	3346733	23570	3346733	13006475264	9482010624	799.7	20	0
112.46	3346733	25896	3346733	13008457728	9482014720	848.0	20	0
113.47	3346733	25896	3346733	13007958016	9482043392	799.6	20	0
114.47	3346733	25896	3346733	13008121856	9482055680	807.5	20	0
115.47	3346733	25896	3346733	13008502784	9482076160	799.4	20	0
116.48	3346733	25896	3346733	13008011264	9482084352	807.4	20	0
117.48	3346733	25896	3346733	13008531456	9482104832	799.6	20	0
118.49	3346733	25896	3346733	13008576512	9482121216	799.2	20	0
119.49	3346733	25896	3346733	13009010688	9482145792	807.1	20	0
120.50	3346733	25896	3346733	13008756736	9482444800	799.5	20	0
121.50	3346733	25896	3346733	13011333120	9485058048	807.6	20	0
122.50	3346733	25896	3346733	13013868544	9487298560	799.3	20	0
123.51	3346733	25896	3346733	13015478272	9489498112	799.4	20	0
