t_s	temp_kb	out_kb	converted_kb	mem_bytes	anon_bytes	cpu_pct	pids	fifos
0.00	0	0	0	6176768	303104	23.7	2	0
1.00	0	0	0	382701568	360624128	98.5	2	0
2.01	0	0	0	761511936	729116672	101.0	2	0
3.01	0	1	0	1339371520	1309540352	100.0	2	0
4.01	0	1	0	1757908992	1713692672	100.0	2	0
5.02	0	1	0	2220396544	2175082496	101.0	2	0
6.02	0	1	0	2555486208	2511290368	100.0	2	0
7.03	0	1	0	2805555200	2760859648	101.0	2	0
8.03	0	2	0	4312678400	4260651008	135.5	16	4
9.03	0	2	0	7957999616	7898697728	199.6	16	4
10.04	0	53	0	9219911680	9149321216	323.6	22	4
11.04	0	202	0	9222901760	9152991232	403.2	22	4
12.05	0	301	0	9225670656	9155231744	406.3	22	4
13.05	0	484	0	9229578240	9161543680	403.7	22	4
14.05	0	567	0	9231675392	9163542528	402.1	22	4
15.06	0	783	0	9235492864	9166893056	408.2	22	4
16.06	0	899	0	9236529152	9167921152	337.2	22	4
17.07	0	1115	0	9237442560	9168809984	306.6	22	4
18.07	0	1181	0	9238773760	9169469440	287.7	22	4
19.07	0	1181	0	9240526848	9170612224	292.7	22	4
20.08	0	1181	0	9242112000	9172508672	352.5	22	4
21.08	0	1181	0	9243516928	9174298624	309.2	22	4
22.09	0	1728	0	9245384704	9175687168	325.7	22	4
23.09	0	1827	0	9245302784	9175760896	332.1	22	4
24.09	0	1827	0	9245446144	9175851008	305.7	22	4
25.10	0	1827	0	9245696000	9175908352	297.3	22	4
26.10	0	1827	0	9245822976	9176150016	312.0	22	4
27.11	0	2323	0	9248768000	9178923008	329.0	22	4
28.11	0	2323	0	9249837056	9180700672	334.5	22	4
29.11	0	2323	0	9253609472	9183911936	313.4	22	4
30.12	0	2406	0	9255522304	9185021952	285.4	22	4
31.12	0	2968	0	9256247296	9185071104	311.9	22	4
32.13	0	2968	0	9256370176	9185079296	304.5	22	4
33.13	0	2968	0	9256775680	9185103872	342.4	22	4
34.13	0	3465	0	9257037824	9185140736	362.0	22	4
35.14	0	3465	0	9256763392	9185189888	335.6	22	4
36.14	0	3465	0	9256992768	9185243136	314.1	22	4
37.15	0	3465	0	9256923136	9185243136	308.4	22	4
38.15	0	4126	0	9257381888	9185259520	328.6	22	4
39.15	0	4126	0	9258188800	9185316864	314.3	22	4
40.16	0	4126	0	9258139648	9185345536	325.5	22	4
41.16	0	4126	0	9257967616	9185427456	314.0	22	4
42.17	0	4607	0	9258622976	9185439744	333.2	22	4
43.17	0	4607	0	9258500096	9185456128	323.7	22	4
44.17	0	4607	0	9258782720	9185460224	346.0	22	4
45.18	0	4707	0	9258795008	9185484800	336.3	22	4
46.18	0	5286	0	9259020288	9185484800	330.6	22	4
47.19	0	5286	0	9259048960	9185484800	362.4	22	4
48.19	0	5286	0	9259155456	9185492992	320.3	22	4
49.19	0	5286	0	9259229184	9185497088	307.1	22	4
50.20	0	5783	0	9260015616	9185509376	324.3	22	4
51.20	0	5783	0	9259884544	9185509376	303.2	22	4
52.21	0	5783	0	9260187648	9185517568	325.0	22	4
53.21	0	5866	0	9259745280	9185521664	335.2	22	4
54.22	0	6447	0	9260822528	9185550336	336.4	22	4
55.22	0	6447	0	9260494848	9185562624	323.8	22	4
56.22	0	6447	0	9260482560	9185574912	322.2	22	4
57.23	0	6447	0	9260253184	9185579008	303.3	22	4
58.23	0	6928	0	9261080576	9185583104	329.4	22	4
59.24	0	6928	0	9260892160	9185599488	352.7	22	4
60.24	0	6928	0	9260933120	9185603584	313.2	22	4
61.25	0	7607	0	9261600768	9185628160	344.4	22	4
62.25	0	7607	0	9261711360	9185648640	311.6	22	4
63.25	0	7607	0	9261932544	9185677312	327.1	22	4
64.26	0	7607	0	9262235648	9185677312	313.1	22	4
65.26	0	8086	0	9262862336	9185681408	333.9	22	4
66.27	0	8086	0	9262387200	9185796096	314.4	22	4
67.27	0	8086	0	9262407680	9185808384	329.0	22	4
68.28	0	8086	0	9262710784	9185837056	314.1	22	4
69.28	0	8764	0	9263628288	9185841152	313.9	22	4
70.28	0	8764	0	9263738880	9185841152	328.1	22	4
71.29	0	8764	0	9262530560	9185853440	318.9	22	4
72.29	0	8764	0	9262612480	9185857536	298.7	22	4
73.30	0	9242	0	9265156096	9187581952	331.7	22	4
74.30	0	9242	0	9265176576	9187581952	333.7	22	4
75.31	0	9242	0	9265000448	9187581952	329.1	22	4
76.31	0	9325	0	9265094656	9187581952	332.8	22	4
77.32	0	9919	0	9265872896	9187581952	308.1	22	4
78.32	0	9919	0	9265889280	9187581952	286.3	22	4
79.32	0	9919	0	9266118656	9187581952	314.3	22	4
80.33	0	9919	0	9266098176	9187581952	341.2	22	4
81.33	0	10397	0	9266188288	9187581952	326.5	22	4
82.34	0	10397	0	9266241536	9187581952	335.3	22	4
83.34	0	10397	0	9265631232	9187581952	301.3	22	4
84.35	0	10479	0	9266118656	9187581952	308.8	22	4
85.35	0	11056	0	9267138560	9187581952	315.0	22	4
86.35	0	11056	0	9266237440	9187581952	323.5	22	4
87.36	0	11056	0	9266495488	9187581952	307.1	22	4
88.36	0	11056	0	9266614272	9187581952	314.9	22	4
89.37	0	11553	0	9266638848	9187581952	314.1	22	4
90.37	0	11553	0	9266343936	9187581952	303.1	22	4
91.38	0	11553	0	9266405376	9187581952	309.2	22	4
92.38	0	11553	0	9266814976	9187586048	321.8	22	4
93.38	0	12214	0	9267568640	9187586048	325.8	22	4
94.39	0	12214	0	9267904512	9187590144	319.5	22	4
95.39	0	12214	0	9267462144	9187598336	332.7	22	4
96.40	0	12214	0	9267486720	9187602432	303.0	22	4
97.40	0	12725	0	9268375552	9187602432	322.9	22	4
98.41	0	12725	0	9268359168	9187602432	343.7	22	4
99.41	0	12725	0	9268555776	9187618816	362.6	22	4
100.41	0	12808	0	9269047296	9187627008	339.5	22	4
101.42	0	13385	0	9269649408	9187635200	327.4	22	4
102.42	0	13385	0	9269170176	9187639296	314.0	22	4
103.43	0	13385	0	9269051392	9187639296	310.7	22	4
104.43	0	13385	0	9268772864	9187639296	324.3	22	4
105.43	0	13879	0	9269493760	9187639296	284.9	22	4
106.44	0	13879	0	9268813824	9187659776	321.2	22	4
107.44	0	13879	0	9269157888	9187659776	301.1	22	4
108.45	0	13962	0	9269641216	9187667968	316.1	22	4
109.45	0	14539	0	9270190080	9187684352	335.3	22	4
110.46	0	14539	0	9269780480	9187688448	336.7	22	4
111.46	0	14539	0	9269960704	9187688448	333.4	22	4
112.46	0	14539	0	9269792768	9187700736	315.2	22	4
113.47	0	15034	0	9270394880	9187700736	330.9	22	4
