t_s	temp_kb	out_kb	converted_kb	mem_bytes	anon_bytes	cpu_pct	pids	fifos
0.00	0	0	0	6152192	303104	60.0	2	0
1.00	0	0	0	647270400	631939072	98.8	2	0
2.01	0	0	0	898748416	872697856	100.0	2	0
3.01	0	0	0	1334140928	1301274624	101.0	2	0
4.01	0	1	0	1816301568	1768136704	100.0	2	0
5.02	0	1	0	2188365824	2142687232	100.0	2	0
6.02	0	1	0	2362703872	2316431360	101.0	2	0
7.03	0	1	0	2769879040	2723291136	100.0	2	0
8.03	0	2	0	3146432512	3097649152	101.0	2	0
9.03	52745	2	0	3199922176	3097649152	100.0	2	0
10.04	461777	2	0	3619409920	3097649152	100.0	2	0
11.04	1062914	2	410913	3932344320	2789494784	154.0	4	0
12.04	1319625	3	667625	6530355200	5116039168	199.3	12	0
13.05	1319625	3	667625	10208100352	8786595840	201.6	12	0
14.05	1319625	3	667625	13816156160	12386660352	927.2	30	0
15.06	1319625	3	667625	17170341888	15732781056	1056.7	40	0
16.06	1320370	3	667625	17218232320	15779975168	1635.4	40	0
17.07	1320799	3	667625	17230831616	15792709632	1626.9	40	0
18.07	1321972	3	667625	17241690112	15802126336	1631.1	40	0
19.08	1321972	3	667625	17248321536	15808856064	1616.5	40	0
20.09	1322170	3	667625	17254420480	15815008256	1605.7	40	0
21.09	1323126	3	667625	17257725952	15816921088	1641.1	40	0
22.10	1324280	3	667625	17261916160	15820079104	1631.9	40	0
23.10	1324280	3	667625	17267535872	15826186240	1615.7	40	0
24.11	1324478	3	667625	17272590336	15831470080	1621.1	40	0
25.11	1324478	3	667625	17277853696	15836499968	1599.8	40	0
26.12	1326591	3	667625	17283039232	15838044160	1673.0	40	0
27.13	1326591	3	667625	17283149824	15838265344	1599.8	40	0
28.13	1327170	3	667625	17285140480	15839834112	1631.2	40	0
29.14	1327747	3	667625	17290694656	15844843520	1615.6	40	0
30.14	1328311	3	667625	17296572416	15850258432	1631.3	40	0
31.15	1328904	3	667625	17302491136	15855480832	1631.7	40	0
32.15	1329004	3	667625	17307750400	15860801536	1603.1	40	0
33.16	1329102	3	667625	17313378304	15865978880	1618.0	40	0
34.16	1329102	3	667625	17318739968	15871524864	1599.8	40	0
35.17	1329102	3	667625	17327230976	15879385088	1616.0	40	0
36.18	1330906	3	667625	17332502528	15883403264	1646.7	40	0
37.18	1332405	3	667625	17334726656	15884709888	1657.1	40	0
38.19	1332836	3	667625	17335906304	15884845056	1627.7	40	0
39.19	1333560	3	667625	17337507840	15884955648	1619.3	40	0
40.20	1333560	3	667625	17337360384	15885656064	1615.5	40	0
41.20	1333560	3	667625	17341915136	15889997824	1599.8	40	0
42.21	1333875	3	667625	17347973120	15895166976	1624.2	40	0
43.22	1335376	3	667625	17354481664	15900831744	1639.4	40	0
44.22	1335902	3	667625	17359872000	15905726464	1630.7	40	0
45.23	1336925	3	667625	17366290432	15910608896	1642.9	40	0
46.23	1337074	3	667625	17372274688	15916077056	1604.8	40	0
